School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
UC-Davis,33,0.94,-1.84,2388,2241,1360,768,1806,.425,221,683,.324,484,658,.736,330,1134,419,207,113,506,664,834,1792,.465,213,572,.372,505,705,.716,267,1064,409,233,77,425,644
UC-Irvine,35,-0.21,-0.33,2440,2350,1410,781,2006,.389,229,699,.328,559,803,.696,332,1180,398,190,96,367,605,900,2061,.437,220,657,.335,420,593,.708,420,1443,430,178,140,487,719
UC-Riverside,31,-8.50,-1.53,2024,2163,1245,735,1776,.414,233,707,.330,460,663,.694,351,1195,409,209,104,432,586,716,1779,.402,185,597,.310,407,580,.702,312,1089,389,190,95,428,617
UC-Santa Barbara,32,2.10,-3.36,2425,2211,1285,803,1863,.431,228,661,.345,377,538,.701,296,1081,443,116,81,368,567,877,1891,.464,257,674,.381,414,594,.697,326,1176,481,154,118,337,536
University of California,32,-3.40,6.06,2166,2483,1285,852,1807,.471,282,706,.399,497,689,.721,316,1116,514,193,128,443,631,767,1887,.406,148,518,.286,484,717,.675,426,1140,313,220,154,470,648
Campbell,34,-5.68,-6.68,2581,2412,1370,861,1933,.445,235,694,.339,455,633,.719,308,1151,425,209,92,427,574,891,1867,.477,313,806,.388,486,648,.750,229,1085,482,228,137,403,579
Canisius,33,0.44,-4.80,2519,2346,1325,818,1825,.448,207,645,.321,503,686,.733,334,1121,386,174,84,500,571,901,1942,.464,304,874,.348,413,581,.711,335,1101,553,232,95,430,624
Central Arkansas,35,-5.83,-5.97,2819,2766,1425,975,2183,.447,252,700,.360,564,834,.676,445,1405,500,251,107,509,688,980,2162,.453,286,804,.356,573,780,.735,354,1271,566,233,180,480,690
Central Connecticut State,32,-11.62,-7.59,2171,2300,1305,816,1860,.439,276,758,.364,392,560,.700,319,1029,425,218,78,360,562,788,1740,.453,198,601,.329,397,568,.699,321,1130,397,161,107,473,549
Central Florida,32,4.75,3.75,2007,1975,1285,718,1790,.401,201,608,.331,338,469,.721,321,1085,401,202,122,394,624,690,1627,.424,177,538,.329,450,702,.641,305,1108,339,169,111,431,488
Central Michigan,36,-1.39,-3.24,2835,2661,1465,966,2173,.445,318,913,.348,411,567,.725,378,1269,490,202,130,465,652,953,2187,.436,356,1037,.343,573,711,.806,398,1305,492,228,119,417,573
Charleston Southern,31,-8.15,-6.15,2232,2133,1260,714,1644,.434,284,742,.383,421,559,.753,273,1021,410,184,98,484,518,802,1793,.447,208,631,.330,420,581,.723,345,1071,368,224,106,408,517
Charlotte,29,-10.13,0.27,2066,2317,1165,842,1762,.478,231,625,.370,402,566,.710,289,1044,412,222,103,370,551,706,1634,.432,198,563,.352,456,637,.716,269,990,319,165,65,428,524
Chattanooga,33,-11.09,-4.05,2289,2424,1345,902,1880,.480,228,649,.351,392,525,.747,283,1105,442,236,115,430,640,784,1804,.435,276,776,.356,445,626,.711,306,1072,421,166,69,460,507
Chicago State,32,-21.53,1.17,2171,2756,1280,949,1908,.497,295,743,.397,563,797,.706,363,1250,583,208,145,454,607,774,1898,.408,169,549,.308,454,627,.724,323,1042,367,232,81,483,697
Cincinnati,36,20.25,3.53,2673,2071,1440,739,1974,.374,231,747,.309,362,529,.684,361,1127,361,179,106,514,654,944,2100,.450,262,742,.353,523,756,.692,477,1413,570,256,194,404,561
Citadel,32,-13.63,-2.94,2639,2819,1290,1020,2123,.480,331,913,.363,448,619,.724,393,1382,617,246,135,542,595,889,2148,.414,386,1133,.341,475,673,.706,374,1183,528,301,99,477,586
Clemson,35,17.17,9.25,2584,2307,1410,826,2033,.406,268,761,.352,387,552,.701,332,1172,401,199,126,413,617,899,1971,.456,288,786,.366,498,660,.755,310,1256,463,198,169,414,564
